offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
8310251268893622453	2015-05-21T00:00:00+03:00	2018-02-16T00:00:00+03:00	10455731.0	7	False	1	False	44.2	14.3	15.1	2.4		1	2	Россия, Санкт-Петербург, улица Чапаева, 16	4738629787144772436
906314482924832000	2014-11-27T00:00:00+03:00	2018-08-20T00:00:00+03:00	8890000.0	3	False	3	False	84.7	8.6	50.6			1	2	Россия, Санкт-Петербург, Кронверкский проспект, 59	526949297145308142
6278491819191334930	2017-06-08T00:00:00+03:00	2017-06-15T00:00:00+03:00	26400.0	8	False	2	False	47.0				0.0	2	2	Россия, Санкт-Петербург, Гаврская улица, 2	4089867680865110689
7340091001892438087	2016-05-06T00:00:00+03:00	2016-11-03T00:00:00+03:00	2650000.0	5	False	1	False	27.0		17.0		0.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 5	1834942744636030497
460255222667047681	2017-04-12T00:00:00+03:00	2017-04-23T00:00:00+03:00	7906181.0	13	False	3	False	88.07	17.22	53.87		0.0	1	2	Россия, Санкт-Петербург, Комендантский проспект, 69	5684068456101521394
8488147105002592000	2018-08-06T00:00:00+03:00	2018-08-17T00:00:00+03:00	19000.0	8	False	1	False	35.0	8.0	31.0		7.0	2	2	Россия, Санкт-Петербург, проспект Ветеранов, 114к3	7349252674063146332
1583202797297376790	2016-06-08T00:00:00+03:00	2016-06-17T00:00:00+03:00	30000.0	3	False	2	False	49.2	11.0	30.0		0.0	2	2	Россия, Санкт-Петербург, улица Жака Дюкло, 12	5012205764389853106
7171761374358858114	2015-05-26T00:00:00+03:00	2016-09-15T00:00:00+03:00	19100000.0	2	False	2	False	122.7	42.8	38.2		0.0	1	2	Россия, Санкт-Петербург, Нижне-Каменская улица	3237075517425696442
6503926172637135300	2017-07-02T00:00:00+03:00	2018-07-27T00:00:00+03:00	40000.0	1	False	4	False	69.0			100.0		2	2	Россия, Санкт-Петербург, улица Подводника Кузьмина, 6	8687176159080355391
7355291354287118080	2015-03-20T00:00:00+03:00	2018-07-06T00:00:00+03:00	4150000.0	16	False	1	False	41.6	11.8	16.4		11.0	1	2	Россия, Санкт-Петербург, проспект Героев, 26к2	941528109879252773
